PRES	MOLEFRAC ACETO-01	TOTAL TEMP	TOTAL KVL ACETO-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA ACETO-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA ACETO-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 ACETO-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC ACETO-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC ACETO-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC ACETO-01	LIQUID2 MOLEFRAC ETHAN-01	LIQUID GAMMA ETHAN-01
bar		C															
1	0	78.0182	4.33396	1	2.185908	1					1	0	1	0	1			1
1	0.002	77.84781	4.299585	0.9933876	2.179018	1.000004					1	0.00859917	0.9914008	0.002	0.998			1.000004
1	0.004	77.67917	4.265683	0.9868848	2.172157	1.000014					1	0.0170627	0.9829373	0.004	0.996			1.000014
1	0.006	77.51226	4.232247	0.9804895	2.165326	1.000032					1	0.0253934	0.9746065	0.006	0.994			1.000032
1	0.008	77.34706	4.199267	0.9741995	2.158525	1.000057					1	0.0335941	0.9664059	0.008	0.992			1.000057
1	0.01	77.18356	4.166737	0.9680128	2.151753	1.000089					1	0.0416673	0.9583326	0.01	0.99			1.000089
1	0.012	77.02172	4.134648	0.9619274	2.145011	1.000128					1	0.0496157	0.9503842	0.012	0.988			1.000128
1	0.014	76.86153	4.102992	0.9559413	2.138298	1.000174					1	0.0574418	0.9425581	0.014	0.986			1.000174
1	0.016	76.70297	4.071762	0.9500527	2.131616	1.000227					1	0.0651481	0.9348518	0.016	0.984			1.000227
1	0.018	76.54602	4.04095	0.9442596	2.124962	1.000288					1	0.0727371	0.9272629	0.018	0.982			1.000288
1	0.02	76.39065	4.01055	0.9385602	2.118339	1.000355					1	0.0802109	0.919789	0.02	0.98			1.000355
1	0.022	76.23686	3.980553	0.9329528	2.111745	1.00043					1	0.0875721	0.9124278	0.022	0.978			1.00043
1	0.024	76.08462	3.950954	0.9274356	2.105181	1.000511					1	0.0948228	0.9051771	0.024	0.976			1.000511
1	0.026	75.93392	3.921745	0.9220068	2.098647	1.0006					1	0.1019654	0.8980346	0.026	0.974			1.0006
1	0.028	75.78472	3.892919	0.9166649	2.092142	1.000695					1	0.1090017	0.8909983	0.028	0.972			1.000695
1	0.03	75.63702	3.86447	0.9114081	2.085666	1.000798					1	0.1159341	0.8840659	0.03	0.97			1.000798
1	0.032	75.4908	3.836392	0.906235	2.079221	1.000908					1	0.1227646	0.8772354	0.032	0.968			1.000908
1	0.034	75.34604	3.808679	0.9011438	2.072805	1.001025					1	0.1294951	0.8705049	0.034	0.966			1.001025
1	0.036	75.20272	3.781323	0.8961332	2.066418	1.001149					1	0.1361276	0.8638724	0.036	0.964			1.001149
1	0.038	75.06082	3.754319	0.8912015	2.060061	1.00128					1	0.1426641	0.8573359	0.038	0.962			1.00128
1	0.04	74.92033	3.727661	0.8863475	2.053733	1.001418					1	0.1491064	0.8508936	0.04	0.96			1.001418
1	0.042	74.78123	3.701344	0.8815695	2.047435	1.001563					1	0.1554564	0.8445436	0.042	0.958			1.001563
1	0.044	74.6435	3.675361	0.8768662	2.041166	1.001715					1	0.1617159	0.8382841	0.044	0.956			1.001715
1	0.046	74.50713	3.649707	0.8722364	2.034927	1.001874					1	0.1678865	0.8321135	0.046	0.954			1.001874
1	0.048	74.37209	3.624376	0.8676785	2.028716	1.00204					1	0.1739701	0.8260299	0.048	0.952			1.00204
1	0.05	74.23838	3.599364	0.8631914	2.022535	1.002213					1	0.1799682	0.8200318	0.05	0.95			1.002213
1	0.052	74.10598	3.574664	0.8587737	2.016384	1.002393					1	0.1858826	0.8141175	0.052	0.948			1.002393
1	0.054	73.97486	3.550272	0.8544242	2.010261	1.00258					1	0.1917147	0.8082853	0.054	0.946			1.00258
1	0.056	73.84503	3.526183	0.8501417	2.004167	1.002774					1	0.1974663	0.8025337	0.056	0.944			1.002774
1	0.058	73.71645	3.502392	0.8459249	1.998103	1.002975					1	0.2031387	0.7968613	0.058	0.942			1.002975
1	0.06	73.58911	3.478893	0.8417728	1.992067	1.003184					1	0.2087336	0.7912664	0.06	0.94			1.003184
1	0.062	73.46301	3.455682	0.8376841	1.986061	1.003399					1	0.2142523	0.7857477	0.062	0.938			1.003399
1	0.064	73.33812	3.432755	0.8336578	1.980083	1.003621					1	0.2196963	0.7803037	0.064	0.936			1.003621
1	0.066	73.21442	3.410106	0.8296927	1.974134	1.00385					1	0.225067	0.774933	0.066	0.934			1.00385
1	0.068	73.09192	3.387732	0.8257878	1.968214	1.004086					1	0.2303658	0.7696342	0.068	0.932			1.004086
1	0.07	72.97058	3.365628	0.821942	1.962323	1.004329					1	0.235594	0.764406	0.07	0.93			1.004329
1	0.072	72.8504	3.343789	0.8181543	1.95646	1.004579					1	0.2407528	0.7592472	0.072	0.928			1.004579
1	0.074	72.73136	3.322211	0.8144237	1.950625	1.004836					1	0.2458437	0.7541563	0.074	0.926			1.004836
1	0.076	72.61345	3.300891	0.8107492	1.94482	1.005101					1	0.2508677	0.7491323	0.076	0.924			1.005101
1	0.078	72.49666	3.279824	0.8071299	1.939042	1.005372					1	0.2558263	0.7441737	0.078	0.922			1.005372
1	0.08	72.38096	3.259005	0.8035648	1.933293	1.00565					1	0.2607204	0.7392796	0.08	0.92			1.00565
1	0.082	72.26636	3.238432	0.8000529	1.927572	1.005935					1	0.2655515	0.7344485	0.082	0.918			1.005935
1	0.084	72.15283	3.2181	0.7965934	1.921879	1.006227					1	0.2703204	0.7296795	0.084	0.916			1.006227
