PRES	MOLEFRAC ACETO-01	TOTAL TEMP	TOTAL KVL ACETO-01	TOTAL KVL METHA-01	LIQUID1 GAMMA ACETO-01	LIQUID1 GAMMA METHA-01	LIQUID2 GAMMA ACETO-01	LIQUID2 GAMMA METHA-01	TOTAL KVL2 ACETO-01	TOTAL KVL2 METHA-01	TOTAL BETA	VAPOR MOLEFRAC ACETO-01	VAPOR MOLEFRAC METHA-01	LIQUID1 MOLEFRAC ACETO-01	LIQUID1 MOLEFRAC METHA-01	LIQUID2 MOLEFRAC ACETO-01	LIQUID2 MOLEFRAC METHA-01	LIQUID GAMMA ACETO-01
bar		K															
1	0	337.29732	2.276091	1	1.735083	1					1	0	1	0	1			1.735083
1	0.002	337.2319	2.266484	0.997462	1.731276	1.000002					1	0.00453296	0.995467	0.002	0.998			1.731276
1	0.004	337.16695	2.256958	0.994952	1.727484	1.000009					1	0.00902783	0.9909722	0.004	0.996			1.727484
1	0.006	337.10247	2.247511	0.9924698	1.723708	1.000021					1	0.013485	0.9865149	0.006	0.994			1.723708
1	0.008	337.03845	2.238143	0.990015	1.719948	1.000037					1	0.0179051	0.9820949	0.008	0.992			1.719948
1	0.01	336.9749	2.228853	0.9875873	1.716203	1.000057					1	0.0222885	0.9777115	0.01	0.99			1.716203
1	0.012	336.9118	2.21964	0.9851866	1.712473	1.000082					1	0.0266356	0.9733643	0.012	0.988			1.712473
1	0.014	336.84915	2.210504	0.9828123	1.708758	1.000112					1	0.030947	0.9690529	0.014	0.986			1.708758
1	0.016	336.78696	2.201443	0.9804643	1.705058	1.000147					1	0.035223	0.9647769	0.016	0.984			1.705058
1	0.018	336.72521	2.192457	0.9781423	1.701374	1.000185					1	0.0394642	0.9605358	0.018	0.982			1.701374
1	0.02	336.6639	2.183544	0.975846	1.697704	1.000229					1	0.0436708	0.9563291	0.02	0.98			1.697704
1	0.022	336.60303	2.174705	0.9735751	1.69405	1.000277					1	0.0478435	0.9521565	0.022	0.978			1.69405
1	0.024	336.54259	2.165938	0.9713294	1.69041	1.00033					1	0.0519825	0.9480175	0.024	0.976			1.69041
1	0.026	336.48258	2.157242	0.9691085	1.686785	1.000387					1	0.0560883	0.9439117	0.026	0.974			1.686785
1	0.028	336.423	2.148617	0.9669123	1.683175	1.000449					1	0.0601612	0.9398387	0.028	0.972			1.683175
1	0.03	336.36385	2.140062	0.9647403	1.67958	1.000515					1	0.0642018	0.9357981	0.03	0.97			1.67958
1	0.032	336.30511	2.131577	0.9625925	1.676	1.000586					1	0.0682104	0.9317896	0.032	0.968			1.676
1	0.034	336.24679	2.123159	0.9604685	1.672434	1.000661					1	0.0721874	0.9278126	0.034	0.966			1.672434
1	0.036	336.18888	2.114809	0.9583681	1.668883	1.000741					1	0.0761331	0.9238669	0.036	0.964			1.668883
1	0.038	336.1314	2.106527	0.956291	1.665347	1.000826					1	0.080048	0.919952	0.038	0.962			1.665347
1	0.04	336.0743	2.09831	0.9542371	1.661825	1.000915					1	0.0839324	0.9160676	0.04	0.96			1.661825
1	0.042	336.0176	2.090159	0.952206	1.658317	1.001009					1	0.0877866	0.9122133	0.042	0.958			1.658317
1	0.044	335.9613	2.082073	0.9501975	1.654824	1.001107					1	0.0916112	0.9083888	0.044	0.956			1.654824
1	0.046	335.9054	2.074051	0.9482114	1.651346	1.00121					1	0.0954063	0.9045936	0.046	0.954			1.651346
1	0.048	335.8499	2.066093	0.9462474	1.647881	1.001317					1	0.0991724	0.9008275	0.048	0.952			1.647881
1	0.05	335.7948	2.058198	0.9443054	1.644431	1.001429					1	0.1029099	0.8970901	0.05	0.95			1.644431
1	0.052	335.74	2.050364	0.9423851	1.640995	1.001546					1	0.106619	0.893381	0.052	0.948			1.640995
1	0.054	335.6857	2.042593	0.9404862	1.637573	1.001667					1	0.1103	0.8897	0.054	0.946			1.637573
1	0.056	335.6317	2.034882	0.9386087	1.634165	1.001793					1	0.1139534	0.8860466	0.056	0.944			1.634165
1	0.058	335.5781	2.027232	0.9367522	1.630772	1.001923					1	0.1175794	0.8824206	0.058	0.942			1.630772
1	0.06	335.5249	2.019641	0.9349166	1.627392	1.002058					1	0.1211784	0.8788216	0.06	0.94			1.627392
1	0.062	335.472	2.012109	0.9331015	1.624026	1.002197					1	0.1247507	0.8752493	0.062	0.938			1.624026
1	0.064	335.4195	2.004635	0.931307	1.620674	1.002341					1	0.1282967	0.8717033	0.064	0.936			1.620674
1	0.066	335.3674	1.99722	0.9295326	1.617336	1.00249					1	0.1318165	0.8681835	0.066	0.934			1.617336
1	0.068	335.3156	1.989862	0.9277783	1.614012	1.002643					1	0.1353106	0.8646894	0.068	0.932			1.614012
1	0.07	335.2642	1.98256	0.9260439	1.610702	1.002801					1	0.1387792	0.8612208	0.07	0.93			1.610702
1	0.072	335.2132	1.975315	0.924329	1.607405	1.002963					1	0.1422226	0.8577774	0.072	0.928			1.607405
1	0.074	335.1625	1.968125	0.9226337	1.604122	1.00313					1	0.1456412	0.8543588	0.074	0.926			1.604122
1	0.076	335.1121	1.960989	0.9209576	1.600852	1.003301					1	0.1490352	0.8509648	0.076	0.924			1.600852
1	0.078	335.0621	1.953909	0.9193006	1.597596	1.003477					1	0.1524049	0.8475951	0.078	0.922			1.597596
1	0.08	335.0125	1.946882	0.9176624	1.594354	1.003658					1	0.1557506	0.8442494	0.08	0.92			1.594354
1	0.082	334.9631	1.939909	0.916043	1.591125	1.003843					1	0.1590725	0.8409275	0.082	0.918			1.591125
1	0.084	334.9141	1.932988	0.9144422	1.587909	1.004033					1	0.162371	0.837629	0.084	0.916			1.587909
1	0.086	334.8655	1.926119	0.9128597	1.584706	1.004227					1	0.1656463	0.8343537	0.086	0.914			1.584706
1	0.088	334.8172	1.919303	0.9112953	1.581517	1.004426					1	0.1688986	0.8311014	0.088	0.912			1.581517
1	0.09	334.7692	1.912537	0.9097491	1.578342	1.00463					1	0.1721284	0.8278716	0.09	0.91			1.578342
1	0.092	334.7215	1.905823	0.9082206	1.575179	1.004838					1	0.1753357	0.8246643	0.092	0.908			1.575179
1	0.094	334.6742	1.899158	0.9067099	1.572029	1.00505					1	0.1785209	0.8214791	0.094	0.906			1.572029
1	0.096	334.6271	1.892543	0.9052166	1.568893	1.005268					1	0.1816841	0.8183159	0.096	0.904			1.568893
1	0.098	334.5804	1.885978	0.9037408	1.56577	1.005489					1	0.1848258	0.8151742	0.098	0.902			1.56577
1	0.1	334.5341	1.879461	0.9022821	1.562659	1.005716					1	0.1879461	0.8120539	0.1	0.9			1.562659
1	0.102	334.488	1.872992	0.9008405	1.559562	1.005947					1	0.1910452	0.8089548	0.102	0.898			1.559562
1	0.104	334.4422	1.866572	0.8994158	1.556477	1.006183					1	0.1941235	0.8058765	0.104	0.896			1.556477
1	0.106	334.3968	1.860198	0.8980078	1.553406	1.006423					1	0.197181	0.802819	0.106	0.894			1.553406
1	0.108	334.3516	1.853872	0.8966164	1.550347	1.006668					1	0.2002182	0.7997818	0.108	0.892			1.550347
1	0.11	334.3068	1.847592	0.8952414	1.547301	1.006917					1	0.2032351	0.7967649	0.11	0.89			1.547301
1	0.112	334.2622	1.841358	0.8938828	1.544267	1.007171					1	0.2062321	0.7937679	0.112	0.888			1.544267
1	0.114	334.218	1.83517	0.8925403	1.541246	1.00743					1	0.2092093	0.7907907	0.114	0.886			1.541246
