PRES	MOLEFRAC METHA-01	TOTAL TEMP	TOTAL KVL METHA-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA METHA-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA METHA-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 METHA-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC METHA-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC METHA-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC METHA-01	LIQUID2 MOLEFRAC ETHAN-01	LIQUID GAMMA METHA-01
bar		K															
1	0	351.1682	1.881625	1	1.126593	1					1	0	1	0	1			1.126593
1	0.002	351.12296	1.878206	0.9982401	1.126336	1					1	0.00375641	0.9962436	0.002	0.998			1.126336
1	0.004	351.07781	1.874797	0.9964869	1.126079	1.000001					1	0.00749918	0.9925008	0.004	0.996			1.126079
1	0.006	351.03276	1.8714	0.9947402	1.125821	1.000002					1	0.0112283	0.9887716	0.006	0.994			1.125821
1	0.008	350.9878	1.868013	0.9930001	1.125563	1.000004					1	0.014944	0.9850559	0.008	0.992			1.125563
1	0.01	350.94294	1.864637	0.9912665	1.125305	1.000006					1	0.0186463	0.9813537	0.01	0.99			1.125305
1	0.012	350.89817	1.861271	0.9895395	1.125046	1.000008					1	0.0223351	0.9776648	0.012	0.988			1.125046
1	0.014	350.85349	1.857915	0.9878186	1.124787	1.000011					1	0.0260108	0.9739892	0.014	0.986			1.124787
1	0.016	350.80891	1.854571	0.9861045	1.124527	1.000015					1	0.0296731	0.9703269	0.016	0.984			1.124527
1	0.018	350.76442	1.851237	0.9843969	1.124267	1.000018					1	0.0333222	0.9666777	0.018	0.982			1.124267
1	0.02	350.72003	1.847913	0.9826957	1.124007	1.000023					1	0.0369582	0.9630417	0.02	0.98			1.124007
1	0.022	350.67573	1.8446	0.9810008	1.123747	1.000028					1	0.0405811	0.9594188	0.022	0.978			1.123747
1	0.024	350.63153	1.841297	0.9793124	1.123485	1.000033					1	0.0441911	0.9558089	0.024	0.976			1.123485
1	0.026	350.58741	1.838004	0.9776303	1.123224	1.000039					1	0.0477881	0.9522119	0.026	0.974			1.123224
1	0.028	350.54339	1.834722	0.9759545	1.122962	1.000045					1	0.0513722	0.9486278	0.028	0.972			1.122962
1	0.03	350.49947	1.83145	0.9742851	1.1227	1.000052					1	0.0549434	0.9450565	0.03	0.97			1.1227
1	0.032	350.45563	1.828188	0.9726219	1.122438	1.000059					1	0.058502	0.941498	0.032	0.968			1.122438
1	0.034	350.41189	1.824936	0.970965	1.122175	1.000067					1	0.0620478	0.9379522	0.034	0.966			1.122175
1	0.036	350.36824	1.821695	0.9693143	1.121911	1.000075					1	0.065581	0.934419	0.036	0.964			1.121911
1	0.038	350.32468	1.818463	0.9676699	1.121648	1.000084					1	0.0691016	0.9308984	0.038	0.962			1.121648
1	0.04	350.28122	1.815242	0.9660316	1.121384	1.000094					1	0.0726096	0.9273903	0.04	0.96			1.121384
1	0.042	350.23784	1.81203	0.9643995	1.121119	1.000103					1	0.0761052	0.9238947	0.042	0.958			1.121119
1	0.044	350.1946	1.808829	0.9627736	1.120854	1.000114					1	0.0795884	0.9204115	0.044	0.956			1.120854
1	0.046	350.1514	1.805637	0.9611538	1.120589	1.000125					1	0.0830593	0.9169407	0.046	0.954			1.120589
1	0.048	350.1083	1.802455	0.9595401	1.120324	1.000136					1	0.0865178	0.9134822	0.048	0.952			1.120324
1	0.05	350.0653	1.799283	0.9579325	1.120058	1.000148					1	0.0899641	0.9100358	0.05	0.95			1.120058
1	0.052	350.0223	1.796121	0.9563309	1.119791	1.000161					1	0.0933983	0.9066017	0.052	0.948			1.119791
1	0.054	349.9795	1.792969	0.9547354	1.119525	1.000174					1	0.0968203	0.9031797	0.054	0.946			1.119525
1	0.056	349.9368	1.789826	0.9531459	1.119258	1.000187					1	0.1002303	0.8997697	0.056	0.944			1.119258
1	0.058	349.8941	1.786693	0.9515624	1.11899	1.000202					1	0.1036282	0.8963718	0.058	0.942			1.11899
1	0.06	349.8516	1.78357	0.9499849	1.118722	1.000216					1	0.1070142	0.8929858	0.06	0.94			1.118722
1	0.062	349.8091	1.780456	0.9484133	1.118454	1.000232					1	0.1103883	0.8896117	0.062	0.938			1.118454
