TEMP	PRES	LIQUID FUG ACETONE	LIQUID FUG METHANOL	LIQUID FUG ETHANOL
K	bar	bar	bar	bar
320	1	0.7159151	0.4801653	0.2531307
320.08	1	0.7179818	0.4818658	0.2541213
320.16	1	0.7200532	0.4835713	0.2551152
320.24	1	0.7221292	0.4852818	0.2561123
320.32	1	0.7242099	0.4869974	0.2571127
320.4	1	0.7262954	0.488718	0.2581165
320.48	1	0.7283855	0.4904436	0.2591235
320.56	1	0.7304804	0.4921743	0.2601339
320.64	1	0.7325799	0.4939101	0.2611476
320.72	1	0.7346842	0.495651	0.2621646
320.8	1	0.7367932	0.497397	0.263185
320.88	1	0.7389069	0.4991481	0.2642088
320.96	1	0.7410254	0.5009043	0.2652359
321.04	1	0.7431487	0.5026656	0.2662664
321.12	1	0.7452767	0.5044321	0.2673002
321.2	1	0.7474094	0.5062037	0.2683375
321.28	1	0.749547	0.5079805	0.2693781
321.36	1	0.7516893	0.5097624	0.2704222
321.44	1	0.7538364	0.5115496	0.2714697
321.52	1	0.7559883	0.513342	0.2725206
321.6	1	0.7581449	0.5151395	0.2735749
321.68	1	0.7603064	0.5169423	0.2746327
321.76	1	0.7624728	0.5187504	0.2756939
321.84	1	0.7646439	0.5205636	0.2767586
321.92	1	0.7668198	0.5223822	0.2778267
322	1	0.7690006	0.524206	0.2788984
322.08	1	0.7711863	0.5260351	0.2799735
322.16	1	0.7733768	0.5278695	0.2810521
322.24	1	0.7755721	0.5297092	0.2821343
322.32	1	0.7777723	0.5315542	0.2832199
322.4	1	0.7799774	0.5334045	0.2843091
322.48	1	0.7821873	0.5352602	0.2854018
322.56	1	0.7844022	0.5371212	0.286498
322.64	1	0.7866219	0.5389876	0.2875978
322.72	1	0.7888465	0.5408594	0.2887012
322.8	1	0.7910761	0.5427365	0.2898081
322.88	1	0.7933105	0.5446191	0.2909186
322.96	1	0.7955499	0.5465071	0.2920327
323.04	1	0.7977942	0.5484005	0.2931504
323.12	1	0.8000434	0.5502993	0.2942716
323.2	1	0.8022976	0.5522036	0.2953965
323.28	1	0.8045567	0.5541133	0.2965251
323.36	1	0.8068208	0.5560285	0.2976572
323.44	1	0.8090898	0.5579492	0.298793
323.52	1	0.8113638	0.5598754	0.2999325
323.6	1	0.8136428	0.5618071	0.3010756
323.68	1	0.8159268	0.5637443	0.3022224
323.76	1	0.8182157	0.5656871	0.3033728
323.84	1	0.8205097	0.5676354	0.304527
323.92	1	0.8228086	0.5695892	0.3056848
