TEMP	PRES	LIQUID PHIPC ACETONE	LIQUID PHIPC METHANOL	LIQUID PHIPC ETHANOL
K	bar		
320	1	1.000778	1.00081	1.001688
320.08	1	1.000772	1.000808	1.001685
320.16	1	1.000766	1.000805	1.001683
320.24	1	1.00076	1.000802	1.00168
320.32	1	1.000753	1.000799	1.001678
320.4	1	1.000747	1.000796	1.001675
320.48	1	1.000741	1.000793	1.001673
320.56	1	1.000734	1.00079	1.00167
320.64	1	1.000728	1.000788	1.001668
320.72	1	1.000722	1.000785	1.001665
320.8	1	1.000715	1.000782	1.001663
320.88	1	1.000709	1.000779	1.00166
320.96	1	1.000703	1.000776	1.001657
321.04	1	1.000696	1.000773	1.001655
321.12	1	1.00069	1.00077	1.001652
321.2	1	1.000683	1.000767	1.00165
321.28	1	1.000677	1.000764	1.001647
321.36	1	1.00067	1.000761	1.001644
321.44	1	1.000664	1.000758	1.001642
321.52	1	1.000657	1.000755	1.001639
321.6	1	1.000651	1.000753	1.001636
321.68	1	1.000644	1.00075	1.001634
321.76	1	1.000638	1.000747	1.001631
321.84	1	1.000631	1.000744	1.001628
321.92	1	1.000625	1.000741	1.001626
322	1	1.000618	1.000738	1.001623
322.08	1	1.000612	1.000735	1.00162
322.16	1	1.000605	1.000732	1.001618
322.24	1	1.000598	1.000729	1.001615
322.32	1	1.000592	1.000726	1.001612
322.4	1	1.000585	1.000722	1.001609
322.48	1	1.000579	1.000719	1.001607
322.56	1	1.000572	1.000716	1.001604
322.64	1	1.000565	1.000713	1.001601
322.72	1	1.000559	1.00071	1.001599
322.8	1	1.000552	1.000707	1.001596
322.88	1	1.000545	1.000704	1.001593
322.96	1	1.000538	1.000701	1.00159
323.04	1	1.000532	1.000698	1.001587
323.12	1	1.000525	1.000695	1.001585
323.2	1	1.000518	1.000692	1.001582
323.28	1	1.000511	1.000689	1.001579
323.36	1	1.000505	1.000685	1.001576
323.44	1	1.000498	1.000682	1.001573
323.52	1	1.000491	1.000679	1.001571
323.6	1	1.000484	1.000676	1.001568
323.68	1	1.000477	1.000673	1.001565
323.76	1	1.00047	1.00067	1.001562
323.84	1	1.000464	1.000666	1.001559
323.92	1	1.000457	1.000663	1.001556
324	1	1.00045	1.00066	1.001554
324.08	1	1.000443	1.000657	1.001551
324.16	1	1.000436	1.000654	1.001548
324.24	1	1.000429	1.00065	1.001545
324.32	1	1.000422	1.000647	1.001542
324.4	1	1.000415	1.000644	1.001539
324.48	1	1.000408	1.000641	1.001536
324.56	1	1.000401	1.000638	1.001533
324.64	1	1.000394	1.000634	1.00153
324.72	1	1.000387	1.000631	1.001527
324.8	1	1.00038	1.000628	1.001524
324.88	1	1.000373	1.000624	1.001522
324.96	1	1.000366	1.000621	1.001519
325.04	1	1.000359	1.000618	1.001516
325.12	1	1.000352	1.000615	1.001513
325.2	1	1.000344	1.000611	1.00151
325.28	1	1.000337	1.000608	1.001507
325.36	1	1.00033	1.000605	1.001504
325.44	1	1.000323	1.000601	1.001501
325.52	1	1.000316	1.000598	1.001498
325.6	1	1.000309	1.000595	1.001495
325.68	1	1.000301	1.000591	1.001492
325.76	1	1.000294	1.000588	1.001489
325.84	1	1.000287	1.000584	1.001485
325.92	1	1.00028	1.000581	1.001482
326	1	1.000273	1.000578	1.001479
326.08	1	1.000265	1.000574	1.001476
